username,crop,predicted_disease,confidence,healthy_or_no,sustainable_solutions
farmer1,Apple,Apple Scab,99.96%,False,"['Instead of fungicides, use baking soda or vinegar to avoid killing beneficial soil microbes.', 'Implement the practice of thinning your trees in order to limit competition for resources and reduce the risk of fires.']"
farmer1,Apple,Healthy,99.88%,True,[]
farmer1,Maize,Common Rust,100.0%,False,"['Instead of fungicides, use baking soda or vinegar to avoid killing beneficial soil microbes.', 'Plant and breed hybrid seeds to maximize crop yields while reducing usage of water and chemical inputs.']"
farmer1,Maize,Healthy,99.72%,True,[]
farmer1,Cashew,Anthracnose,99.68%,False,"['Instead of fungicides, use baking soda or vinegar to avoid killing beneficial soil microbes.', 'Use organic fertilizer instead of synthetic fertilizer to prevent releasing greenhouse gas emissions.', 'Composting diverts organic waste from landfills and improves soil quality.']"
farmer1,Maize,Healthy,96.47%,True,[]
farmer1,Apple,Cedar Apple Rust,100.0%,False,"['Instead of fungicides, use baking soda or vinegar to avoid killing beneficial soil microbes.', 'Prune your trees and bushes to increase soil fertility, balance the root systems, and prevent the spread of diseases.', 'Utilize cultivars to reduce reliance on chemicals and maximize crop yields.']"
farmer1,Strawberry,Leaf Scorch,100.0%,False,"['Use organic fertilizer instead of synthetic fertilizer to prevent releasing greenhouse gas emissions.', 'Avoid using an excessive amount of mulch to prevent suffocating the roots and causing oxygen deprivation.', ""Irrigation itself isn't inherently sustainable, but drip irrigation and smart water management systems effectively minimize water loss.""]"
farmer1,Strawberry,Leaf Scorch,98.41%,False,"['Use organic fertilizer instead of synthetic fertilizer to prevent releasing greenhouse gas emissions.', 'Avoid using an excessive amount of mulch to prevent suffocating the roots and causing oxygen deprivation.', ""Irrigation itself isn't inherently sustainable, but drip irrigation and smart water management systems effectively minimize water loss.""]"
farmer1,Cashew,Gummosis,96.13%,False,"['Use organic fertilizer instead of synthetic fertilizer to prevent releasing greenhouse gas emissions.', 'Prune your trees and bushes to increase soil fertility, balance the root systems, and prevent the spread of diseases.', 'Instead of white latex paint, look for a paint with an organic base that can be applied to tree bark for protection from insects and sunburn.']"
